issue,split,task_type,count
answer_edge_whitespace,train,nearest_category,27
answer_edge_whitespace,train,nearest_of_two_categories,12
answer_edge_whitespace,train,spatial_multi_constraint,2
answer_edge_whitespace,train,two_hop_nearest,4
answer_edge_whitespace,validation,nearest_category,3
answer_edge_whitespace,validation,nearest_of_two_categories,2
answer_position_mismatch,train,closer_of_two,4
article_chars_mismatch,train,cardinal_direction,6
article_chars_mismatch,train,closer_of_two,4
article_chars_mismatch,train,count_within_radius,1
article_chars_mismatch,train,nearest_category,13
article_chars_mismatch,train,nearest_of_two_categories,4
article_chars_mismatch,train,spatial_multi_constraint,2
article_chars_mismatch,train,two_hop_nearest,4
article_chars_mismatch,train,within_radius_yes_no,4
article_chars_mismatch,validation,cardinal_direction,3
article_chars_mismatch,validation,closer_of_two,2
article_chars_mismatch,validation,count_within_radius,2
article_chars_mismatch,validation,nearest_category,9
article_chars_mismatch,validation,nearest_of_two_categories,2
article_chars_mismatch,validation,spatial_multi_constraint,2
article_chars_mismatch,validation,two_hop_nearest,2
article_chars_mismatch,validation,within_radius_yes_no,2
candidate_name_edge_whitespace,test,cardinal_direction,24
candidate_name_edge_whitespace,test,closer_of_two,16
candidate_name_edge_whitespace,test,count_within_radius,8
candidate_name_edge_whitespace,test,nearest_category,80
candidate_name_edge_whitespace,test,nearest_of_two_categories,16
candidate_name_edge_whitespace,test,spatial_multi_constraint,16
candidate_name_edge_whitespace,test,two_hop_nearest,16
candidate_name_edge_whitespace,test,within_radius_yes_no,16
candidate_name_edge_whitespace,train,cardinal_direction,155
candidate_name_edge_whitespace,train,closer_of_two,104
candidate_name_edge_whitespace,train,count_within_radius,41
candidate_name_edge_whitespace,train,nearest_category,511
candidate_name_edge_whitespace,train,nearest_of_two_categories,104
candidate_name_edge_whitespace,train,spatial_multi_constraint,104
candidate_name_edge_whitespace,train,two_hop_nearest,104
candidate_name_edge_whitespace,train,within_radius_yes_no,104
candidate_name_edge_whitespace,validation,cardinal_direction,23
candidate_name_edge_whitespace,validation,closer_of_two,16
candidate_name_edge_whitespace,validation,count_within_radius,6
candidate_name_edge_whitespace,validation,nearest_category,76
candidate_name_edge_whitespace,validation,nearest_of_two_categories,16
candidate_name_edge_whitespace,validation,spatial_multi_constraint,16
candidate_name_edge_whitespace,validation,two_hop_nearest,16
candidate_name_edge_whitespace,validation,within_radius_yes_no,16
count_origin_name_collides_with_context_anchor,test,count_within_radius,3
count_origin_name_collides_with_context_anchor,train,count_within_radius,17
count_origin_name_collides_with_context_anchor,validation,count_within_radius,3
count_would_change_if_names_deduplicated,train,count_within_radius,115
count_would_change_if_names_deduplicated,validation,count_within_radius,6
duplicate_candidate_coordinates,test,cardinal_direction,13
duplicate_candidate_coordinates,test,closer_of_two,10
duplicate_candidate_coordinates,test,count_within_radius,3
duplicate_candidate_coordinates,test,nearest_category,43
duplicate_candidate_coordinates,test,nearest_of_two_categories,10
duplicate_candidate_coordinates,test,spatial_multi_constraint,10
duplicate_candidate_coordinates,test,two_hop_nearest,10
duplicate_candidate_coordinates,test,within_radius_yes_no,10
duplicate_candidate_coordinates,train,cardinal_direction,64
duplicate_candidate_coordinates,train,closer_of_two,44
duplicate_candidate_coordinates,train,count_within_radius,9
duplicate_candidate_coordinates,train,nearest_category,177
duplicate_candidate_coordinates,train,nearest_of_two_categories,43
duplicate_candidate_coordinates,train,spatial_multi_constraint,41
duplicate_candidate_coordinates,train,two_hop_nearest,42
duplicate_candidate_coordinates,train,within_radius_yes_no,44
duplicate_candidate_names,test,cardinal_direction,285
duplicate_candidate_names,test,closer_of_two,193
duplicate_candidate_names,test,count_within_radius,82
duplicate_candidate_names,test,nearest_category,708
duplicate_candidate_names,test,nearest_of_two_categories,173
duplicate_candidate_names,test,spatial_multi_constraint,165
duplicate_candidate_names,test,two_hop_nearest,176
duplicate_candidate_names,test,within_radius_yes_no,192
duplicate_candidate_names,train,cardinal_direction,2383
duplicate_candidate_names,train,closer_of_two,1637
duplicate_candidate_names,train,count_within_radius,617
duplicate_candidate_names,train,nearest_category,6147
duplicate_candidate_names,train,nearest_of_two_categories,1470
duplicate_candidate_names,train,spatial_multi_constraint,1384
duplicate_candidate_names,train,two_hop_nearest,1487
duplicate_candidate_names,train,within_radius_yes_no,1612
duplicate_candidate_names,validation,cardinal_direction,283
duplicate_candidate_names,validation,closer_of_two,202
duplicate_candidate_names,validation,count_within_radius,77
duplicate_candidate_names,validation,nearest_category,753
duplicate_candidate_names,validation,nearest_of_two_categories,183
duplicate_candidate_names,validation,spatial_multi_constraint,175
duplicate_candidate_names,validation,two_hop_nearest,190
duplicate_candidate_names,validation,within_radius_yes_no,202
duplicate_candidate_rows,test,cardinal_direction,7
duplicate_candidate_rows,test,closer_of_two,6
duplicate_candidate_rows,test,count_within_radius,2
duplicate_candidate_rows,test,nearest_category,30
duplicate_candidate_rows,test,nearest_of_two_categories,6
duplicate_candidate_rows,test,spatial_multi_constraint,6
duplicate_candidate_rows,test,two_hop_nearest,6
duplicate_candidate_rows,test,within_radius_yes_no,6
duplicate_candidate_rows,train,cardinal_direction,47
duplicate_candidate_rows,train,closer_of_two,32
duplicate_candidate_rows,train,count_within_radius,7
duplicate_candidate_rows,train,nearest_category,144
duplicate_candidate_rows,train,nearest_of_two_categories,32
duplicate_candidate_rows,train,spatial_multi_constraint,32
duplicate_candidate_rows,train,two_hop_nearest,32
duplicate_candidate_rows,train,within_radius_yes_no,32
exact_nearest_tie,train,nearest_category,6
exact_nearest_tie,train,nearest_of_two_categories,8
exact_nearest_tie,train,spatial_multi_constraint,1
intermediate_name_repeated_but_geometry_resolves,train,two_hop_nearest,202
intermediate_name_repeated_but_geometry_resolves,validation,two_hop_nearest,24
multi_constraint_four_sector_answer_differs,train,spatial_multi_constraint,172
multi_constraint_four_sector_answer_differs,validation,spatial_multi_constraint,16
multi_constraint_four_sector_count_differs,train,spatial_multi_constraint,514
multi_constraint_four_sector_count_differs,validation,spatial_multi_constraint,61
multiline_candidate_names,test,cardinal_direction,39
multiline_candidate_names,test,closer_of_two,26
multiline_candidate_names,test,count_within_radius,18
multiline_candidate_names,test,nearest_category,116
multiline_candidate_names,test,nearest_of_two_categories,26
multiline_candidate_names,test,spatial_multi_constraint,26
multiline_candidate_names,test,two_hop_nearest,26
multiline_candidate_names,test,within_radius_yes_no,26
multiline_candidate_names,train,cardinal_direction,191
multiline_candidate_names,train,closer_of_two,132
multiline_candidate_names,train,count_within_radius,56
multiline_candidate_names,train,nearest_category,595
multiline_candidate_names,train,nearest_of_two_categories,132
multiline_candidate_names,train,spatial_multi_constraint,132
multiline_candidate_names,train,two_hop_nearest,132
multiline_candidate_names,train,within_radius_yes_no,132
multiline_candidate_names,validation,cardinal_direction,33
multiline_candidate_names,validation,closer_of_two,22
multiline_candidate_names,validation,count_within_radius,11
multiline_candidate_names,validation,nearest_category,97
multiline_candidate_names,validation,nearest_of_two_categories,22
multiline_candidate_names,validation,spatial_multi_constraint,22
multiline_candidate_names,validation,two_hop_nearest,22
multiline_candidate_names,validation,within_radius_yes_no,22
named_identity_ambiguous,test,cardinal_direction,45
named_identity_ambiguous,test,closer_of_two,58
