split,task_type,class,count,percent_of_task_split
train,cardinal_direction,A,2930,89.684726
train,cardinal_direction,B,337,10.315274
train,closer_of_two,A,1665,76.834333
train,closer_of_two,B,502,23.165667
train,count_within_radius,A,628,89.586305
train,count_within_radius,B,73,10.413695
train,nearest_category,A,6583,99.924104
train,nearest_category,B,5,0.075896
train,nearest_of_two_categories,A,1591,100.0
train,spatial_multi_constraint,A,1478,100.0
train,two_hop_nearest,A,1603,100.0
train,within_radius_yes_no,A,2201,99.954587
train,within_radius_yes_no,F,1,0.045413
validation,cardinal_direction,A,376,91.93154
validation,cardinal_direction,B,33,8.06846
validation,closer_of_two,A,210,74.204947
validation,closer_of_two,B,73,25.795053
validation,count_within_radius,A,84,86.597938
validation,count_within_radius,B,13,13.402062
validation,nearest_category,A,827,100.0
validation,nearest_of_two_categories,A,205,100.0
validation,spatial_multi_constraint,A,191,100.0
validation,two_hop_nearest,A,210,100.0
validation,within_radius_yes_no,A,280,100.0
