split,task_type,difficulty,count
test,cardinal_direction,easy,397
test,closer_of_two,medium,264
test,count_within_radius,medium,89
test,nearest_category,easy,759
test,nearest_of_two_categories,medium,186
test,spatial_multi_constraint,hard,173
test,two_hop_nearest,hard,188
test,within_radius_yes_no,easy,276
train,cardinal_direction,easy,3267
train,closer_of_two,medium,2167
train,count_within_radius,medium,701
train,nearest_category,easy,6588
train,nearest_of_two_categories,medium,1591
train,spatial_multi_constraint,hard,1478
train,two_hop_nearest,hard,1603
train,within_radius_yes_no,easy,2202
validation,cardinal_direction,easy,409
validation,closer_of_two,medium,283
validation,count_within_radius,medium,97
validation,nearest_category,easy,827
validation,nearest_of_two_categories,medium,205
validation,spatial_multi_constraint,hard,191
validation,two_hop_nearest,hard,210
validation,within_radius_yes_no,easy,280
