split,id,task_type,audit_class,parsed,operation_matches_annotation,identity_status,status,correct,stage,reason,diagnostics
validation,ceffee50f3e1f936,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,3cf597b9bd0f226d,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,96ea80da280f184a,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,56b1eba1a1cad7e8,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,8b51d2dc00a1955e,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,8d62872413931277,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,ff6d50e572c3e376,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,9dd99cdd1e630531,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,a0bde3ad759721ac,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,794042ce8404c37e,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,d76e46cd50ccb4ad,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,f2bcf6461db955fc,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,0a01afb2aa6f3168,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,b012d1381d3c983a,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,cf4484c97d85a0ae,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,da81f3de288046ed,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,2b9ba76ed4d2d254,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,889c8ef64c935c46,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,500c3b3d5b6d4915,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,e359d66b1bbf5391,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,6ea12f6b6ba37d10,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,3523c116c6cb363b,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,845c674dba252c53,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,85128e6123a08dc8,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,1db87012ad38f69f,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,eb67155ca2be99bd,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,18ac8010c5a67d71,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,f28009d242f2baad,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,65e9b1cfcf1891fa,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,f0f29edb2139e61b,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,73a58ba0820ddbf0,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,efb9959228ee5573,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,c7329900e61555b7,cardinal_direction,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,db9fbcea6674628f,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,b4fdcd330f3e096a,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,84ee6144e0ac1298,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,49f489b7af7628ee,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,fa12f201745eabc1,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,e73d3025d092c725,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,5b388ab52ba54a0b,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,92fd6d05628d3d73,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,94582064da9a53b1,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,67e3c7ed087ad36a,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,679287aff5ec0f64,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,3f0c13824ceff192,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,256aa1e7f7018f14,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,9cf82ff625929cad,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,d0b6d99e9f4a8ef7,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,2bf5a664e8026765,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,24f5b3e9a158121b,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,68c5165ce708a7a6,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,d540e056ea969176,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,03f7e7dc49508106,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,5b4cafcba5aca223,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,8ed8bddef14b881f,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,2e65700905e710ba,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
validation,d65ad14c330029c4,closer_of_two,B,True,True,AMBIGUOUS,ambiguous,False,identity,referenced_entity_ambiguous,
