scope,group,n,rule0_intent_accuracy_percent,rule0_query_exact_match_percent,rule0_end_to_end_accuracy_percent,neural_intent_accuracy_percent,neural_query_exact_match_percent,neural_end_to_end_accuracy_percent
original_validation,cardinal_direction,409,100.0,100.0,91.93154,100.0,100.0,91.93154
original_validation,closer_of_two,283,100.0,100.0,74.204947,100.0,100.0,74.204947
original_validation,count_within_radius,97,100.0,100.0,86.597938,100.0,97.938144,85.56701
original_validation,nearest_category,827,100.0,100.0,100.0,100.0,100.0,100.0
original_validation,nearest_of_two_categories,205,100.0,100.0,100.0,100.0,100.0,100.0
original_validation,spatial_multi_constraint,191,100.0,100.0,100.0,100.0,100.0,100.0
original_validation,two_hop_nearest,210,100.0,100.0,100.0,100.0,100.0,100.0
original_validation,within_radius_yes_no,280,100.0,100.0,100.0,100.0,100.0,100.0
core_dev,cardinal_direction,24,0.0,0.0,0.0,25.0,25.0,25.0
core_dev,closer_of_two,24,0.0,0.0,0.0,25.0,25.0,25.0
core_dev,count_within_radius,24,0.0,0.0,0.0,12.5,12.5,12.5
core_dev,nearest_category,24,0.0,0.0,0.0,4.166667,4.166667,4.166667
core_dev,nearest_of_two_categories,24,0.0,0.0,0.0,25.0,25.0,37.5
core_dev,spatial_multi_constraint,24,0.0,0.0,0.0,16.666667,16.666667,20.833333
core_dev,two_hop_nearest,24,0.0,0.0,0.0,58.333333,45.833333,45.833333
core_dev,within_radius_yes_no,24,0.0,0.0,0.0,12.5,12.5,12.5
core_eval,cardinal_direction,16,0.0,0.0,0.0,25.0,25.0,25.0
core_eval,closer_of_two,16,0.0,0.0,0.0,43.75,43.75,43.75
core_eval,count_within_radius,16,0.0,0.0,0.0,6.25,6.25,6.25
core_eval,nearest_category,16,0.0,0.0,0.0,6.25,6.25,6.25
core_eval,nearest_of_two_categories,16,0.0,0.0,0.0,12.5,12.5,31.25
core_eval,spatial_multi_constraint,16,0.0,0.0,0.0,6.25,6.25,12.5
core_eval,two_hop_nearest,16,0.0,0.0,0.0,81.25,56.25,56.25
core_eval,within_radius_yes_no,16,0.0,0.0,0.0,6.25,6.25,6.25
