scope,task_type,stage,reason,count
core_dev,cardinal_direction,intent,two_category_slot_count,14
core_dev,cardinal_direction,intent,wrong_named_target_count,4
core_dev,closer_of_two,intent,two_category_slot_count,15
core_dev,closer_of_two,intent,wrong_named_target_count,3
core_dev,count_within_radius,intent,origin_not_explicit,21
core_dev,nearest_category,intent,two_category_slot_count,20
core_dev,nearest_category,intent,wrong_named_target_count,3
core_dev,nearest_of_two_categories,intent,,11
core_dev,nearest_of_two_categories,intent,category_slot_count,2
core_dev,nearest_of_two_categories,intent,wrong_named_target_count,2
core_dev,spatial_multi_constraint,intent,two_category_slot_count,17
core_dev,spatial_multi_constraint,intent,wrong_named_target_count,2
core_dev,two_hop_nearest,intent,,6
core_dev,two_hop_nearest,intent,category_slot_count,1
core_dev,two_hop_nearest,intent,wrong_named_target_count,3
core_dev,two_hop_nearest,structured_query,,3
core_dev,within_radius_yes_no,intent,direction_slot_count,5
core_dev,within_radius_yes_no,intent,two_category_slot_count,14
core_dev,within_radius_yes_no,intent,wrong_named_target_count,2
core_eval,cardinal_direction,intent,two_category_slot_count,11
core_eval,cardinal_direction,intent,wrong_named_target_count,1
core_eval,closer_of_two,intent,two_category_slot_count,7
core_eval,closer_of_two,intent,wrong_named_target_count,2
core_eval,count_within_radius,intent,origin_not_explicit,15
core_eval,nearest_category,intent,two_category_slot_count,14
core_eval,nearest_category,intent,wrong_named_target_count,1
core_eval,nearest_of_two_categories,intent,,9
core_eval,nearest_of_two_categories,intent,category_slot_count,1
core_eval,nearest_of_two_categories,intent,wrong_named_target_count,1
core_eval,spatial_multi_constraint,intent,two_category_slot_count,14
core_eval,two_hop_nearest,intent,,1
core_eval,two_hop_nearest,intent,category_slot_count,1
core_eval,two_hop_nearest,intent,wrong_named_target_count,1
core_eval,two_hop_nearest,structured_query,,4
core_eval,within_radius_yes_no,intent,,2
core_eval,within_radius_yes_no,intent,direction_slot_count,3
core_eval,within_radius_yes_no,intent,two_category_slot_count,9
core_eval,within_radius_yes_no,intent,wrong_named_target_count,1
original_validation,cardinal_direction,identity,referenced_entity_ambiguous,33
original_validation,closer_of_two,identity,referenced_entity_ambiguous,73
original_validation,count_within_radius,identity,referenced_entity_ambiguous,12
original_validation,count_within_radius,slot_extraction,category_slot_count,2
