scope,group,n,intent_correct,intent_accuracy_percent,query_exact_correct,structured_query_exact_match_percent,answer_correct,end_to_end_accuracy_percent,query_produced,query_produced_percent,abstentions,abstention_percent,reconstructable_n,reconstructable_accuracy_percent
original_validation,cardinal_direction,409,409,100.0,409,100.0,376,91.93154,409,100.0,33,8.06846,376,100.0
original_validation,closer_of_two,283,283,100.0,283,100.0,210,74.204947,283,100.0,73,25.795053,210,100.0
original_validation,count_within_radius,97,97,100.0,95,97.938144,83,85.56701,95,97.938144,14,14.43299,84,98.809524
original_validation,nearest_category,827,827,100.0,827,100.0,827,100.0,827,100.0,0,0.0,827,100.0
original_validation,nearest_of_two_categories,205,205,100.0,205,100.0,205,100.0,205,100.0,0,0.0,205,100.0
original_validation,spatial_multi_constraint,191,191,100.0,191,100.0,191,100.0,191,100.0,0,0.0,191,100.0
original_validation,two_hop_nearest,210,210,100.0,210,100.0,210,100.0,210,100.0,0,0.0,210,100.0
original_validation,within_radius_yes_no,280,280,100.0,280,100.0,280,100.0,280,100.0,0,0.0,280,100.0
core_dev,cardinal_direction,24,6,25.0,6,25.0,6,25.0,6,25.0,18,75.0,24,25.0
core_dev,closer_of_two,24,6,25.0,6,25.0,6,25.0,6,25.0,18,75.0,24,25.0
core_dev,count_within_radius,24,3,12.5,3,12.5,3,12.5,3,12.5,21,87.5,24,12.5
core_dev,nearest_category,24,1,4.166667,1,4.166667,1,4.166667,1,4.166667,23,95.833333,24,4.166667
core_dev,nearest_of_two_categories,24,6,25.0,6,25.0,9,37.5,20,83.333333,4,16.666667,24,37.5
core_dev,spatial_multi_constraint,24,4,16.666667,4,16.666667,5,20.833333,5,20.833333,19,79.166667,24,20.833333
core_dev,two_hop_nearest,24,14,58.333333,11,45.833333,11,45.833333,20,83.333333,4,16.666667,24,45.833333
core_dev,within_radius_yes_no,24,3,12.5,3,12.5,3,12.5,3,12.5,21,87.5,24,12.5
core_eval,cardinal_direction,16,4,25.0,4,25.0,4,25.0,4,25.0,12,75.0,16,25.0
core_eval,closer_of_two,16,7,43.75,7,43.75,7,43.75,7,43.75,9,56.25,16,43.75
core_eval,count_within_radius,16,1,6.25,1,6.25,1,6.25,1,6.25,15,93.75,16,6.25
core_eval,nearest_category,16,1,6.25,1,6.25,1,6.25,1,6.25,15,93.75,16,6.25
core_eval,nearest_of_two_categories,16,2,12.5,2,12.5,5,31.25,14,87.5,2,12.5,16,31.25
core_eval,spatial_multi_constraint,16,1,6.25,1,6.25,2,12.5,2,12.5,14,87.5,16,12.5
core_eval,two_hop_nearest,16,13,81.25,9,56.25,9,56.25,14,87.5,2,12.5,16,56.25
core_eval,within_radius_yes_no,16,1,6.25,1,6.25,1,6.25,3,18.75,13,81.25,16,6.25
