split,task,register,n,SHORT,LONG,FAILURE
all,cardinal_direction,conversational,75,19,55,1
all,cardinal_direction,indirect_compositional,75,0,73,2
all,cardinal_direction,light_saudi,75,19,55,1
all,cardinal_direction,natural_msa,75,19,55,1
all,closer_of_two,conversational,75,19,52,4
all,closer_of_two,indirect_compositional,75,0,74,1
all,closer_of_two,light_saudi,75,19,52,4
all,closer_of_two,natural_msa,75,0,71,4
all,count_within_radius,conversational,75,19,33,23
all,count_within_radius,indirect_compositional,75,0,33,42
all,count_within_radius,light_saudi,75,18,40,17
all,count_within_radius,natural_msa,75,19,29,27
all,nearest_category,conversational,75,0,56,19
all,nearest_category,indirect_compositional,75,0,40,35
all,nearest_category,light_saudi,75,0,75,0
all,nearest_category,natural_msa,75,0,68,7
all,nearest_of_two_categories,conversational,75,19,12,44
all,nearest_of_two_categories,indirect_compositional,75,13,41,21
all,nearest_of_two_categories,light_saudi,75,19,55,1
all,nearest_of_two_categories,natural_msa,75,15,48,12
all,spatial_multi_constraint,conversational,75,23,52,0
all,spatial_multi_constraint,indirect_compositional,75,18,47,10
all,spatial_multi_constraint,light_saudi,75,19,54,2
all,spatial_multi_constraint,natural_msa,75,38,32,5
all,two_hop_nearest,conversational,75,54,19,2
all,two_hop_nearest,indirect_compositional,75,57,15,3
all,two_hop_nearest,light_saudi,75,56,5,14
all,two_hop_nearest,natural_msa,75,54,11,10
all,within_radius_yes_no,conversational,75,1,71,3
all,within_radius_yes_no,indirect_compositional,75,0,75,0
all,within_radius_yes_no,light_saudi,75,0,39,36
all,within_radius_yes_no,natural_msa,75,13,62,0
train,cardinal_direction,conversational,60,15,44,1
train,cardinal_direction,indirect_compositional,60,0,58,2
train,cardinal_direction,light_saudi,60,15,45,0
train,cardinal_direction,natural_msa,60,15,44,1
train,closer_of_two,conversational,60,15,42,3
train,closer_of_two,indirect_compositional,60,0,59,1
train,closer_of_two,light_saudi,60,15,41,4
train,closer_of_two,natural_msa,60,0,57,3
train,count_within_radius,conversational,60,15,26,19
train,count_within_radius,indirect_compositional,60,0,26,34
train,count_within_radius,light_saudi,60,15,31,14
train,count_within_radius,natural_msa,60,15,22,23
train,nearest_category,conversational,60,0,45,15
train,nearest_category,indirect_compositional,60,0,33,27
train,nearest_category,light_saudi,60,0,60,0
train,nearest_category,natural_msa,60,0,55,5
train,nearest_of_two_categories,conversational,60,15,9,36
train,nearest_of_two_categories,indirect_compositional,60,11,31,18
train,nearest_of_two_categories,light_saudi,60,15,44,1
train,nearest_of_two_categories,natural_msa,60,12,39,9
train,spatial_multi_constraint,conversational,60,19,41,0
train,spatial_multi_constraint,indirect_compositional,60,15,38,7
train,spatial_multi_constraint,light_saudi,60,15,43,2
train,spatial_multi_constraint,natural_msa,60,30,26,4
train,two_hop_nearest,conversational,60,44,14,2
train,two_hop_nearest,indirect_compositional,60,45,13,2
train,two_hop_nearest,light_saudi,60,45,4,11
train,two_hop_nearest,natural_msa,60,43,8,9
train,within_radius_yes_no,conversational,60,1,56,3
train,within_radius_yes_no,indirect_compositional,60,0,60,0
train,within_radius_yes_no,light_saudi,60,0,32,28
train,within_radius_yes_no,natural_msa,60,10,50,0
dev,cardinal_direction,conversational,15,4,11,0
dev,cardinal_direction,indirect_compositional,15,0,15,0
dev,cardinal_direction,light_saudi,15,4,10,1
dev,cardinal_direction,natural_msa,15,4,11,0
dev,closer_of_two,conversational,15,4,10,1
dev,closer_of_two,indirect_compositional,15,0,15,0
dev,closer_of_two,light_saudi,15,4,11,0
dev,closer_of_two,natural_msa,15,0,14,1
dev,count_within_radius,conversational,15,4,7,4
dev,count_within_radius,indirect_compositional,15,0,7,8
dev,count_within_radius,light_saudi,15,3,9,3
dev,count_within_radius,natural_msa,15,4,7,4
dev,nearest_category,conversational,15,0,11,4
dev,nearest_category,indirect_compositional,15,0,7,8
dev,nearest_category,light_saudi,15,0,15,0
dev,nearest_category,natural_msa,15,0,13,2
dev,nearest_of_two_categories,conversational,15,4,3,8
dev,nearest_of_two_categories,indirect_compositional,15,2,10,3
dev,nearest_of_two_categories,light_saudi,15,4,11,0
dev,nearest_of_two_categories,natural_msa,15,3,9,3
dev,spatial_multi_constraint,conversational,15,4,11,0
dev,spatial_multi_constraint,indirect_compositional,15,3,9,3
dev,spatial_multi_constraint,light_saudi,15,4,11,0
dev,spatial_multi_constraint,natural_msa,15,8,6,1
dev,two_hop_nearest,conversational,15,10,5,0
dev,two_hop_nearest,indirect_compositional,15,12,2,1
dev,two_hop_nearest,light_saudi,15,11,1,3
dev,two_hop_nearest,natural_msa,15,11,3,1
dev,within_radius_yes_no,conversational,15,0,15,0
dev,within_radius_yes_no,indirect_compositional,15,0,15,0
dev,within_radius_yes_no,light_saudi,15,0,7,8
dev,within_radius_yes_no,natural_msa,15,3,12,0
